id; name; canonical_name;code;
1; 'AFGHANISTAN'; 'Afghanistan'; 'AFG';
2; 'ALBANIA'; 'Albania'; 'ALB';
3; 'ALGERIA'; 'Algeria'; 'DZA';
4; 'AMERICAN SAMOA'; 'American Samoa'; 'ASM';
5; 'ANDORRA'; 'Andorra'; 'AND';
6; 'ANGOLA'; 'Angola'; 'AGO';
7; 'ANGUILLA'; 'Anguilla'; 'AIA';
8; 'ANTARCTICA'; 'Antarctica'; NULL;
9; 'ANTIGUA AND BARBUDA'; 'Antigua and Barbuda'; 'ATG';
10; 'ARGENTINA'; 'Argentina'; 'ARG';
11; 'ARMENIA'; 'Armenia'; 'ARM';
12; 'ARUBA'; 'Aruba'; 'ABW';
13; 'AUSTRALIA'; 'Australia'; 'AUS';
14; 'AUSTRIA'; 'Austria'; 'AUT';
15; 'AZERBAIJAN'; 'Azerbaijan'; 'AZE';
16; 'BAHAMAS'; 'Bahamas'; 'BHS';
17; 'BAHRAIN'; 'Bahrain'; 'BHR';
18; 'BANGLADESH'; 'Bangladesh'; 'BGD';
19; 'BARBADOS'; 'Barbados'; 'BRB';
20; 'BELARUS'; 'Belarus'; 'BLR';
21; 'BELGIUM'; 'Belgium'; 'BEL';
22; 'BELIZE'; 'Belize'; 'BLZ';
23; 'BENIN'; 'Benin'; 'BEN';
24; 'BERMUDA'; 'Bermuda'; 'BMU';
25; 'BHUTAN'; 'Bhutan'; 'BTN';
26; 'BOLIVIA'; 'Bolivia'; 'BOL';
27; 'BOSNIA AND HERZEGOVINA'; 'Bosnia and Herzegovina'; 'BIH';
28; 'BOTSWANA'; 'Botswana'; 'BWA';
29; 'BOUVET ISLAND'; 'Bouvet Island'; NULL;
30; 'BRAZIL'; 'Brazil'; 'BRA';
31; 'BRITISH INDIAN OCEAN TERRITORY'; 'British Indian Ocean Territory'; NULL;
32; 'BRUNEI DARUSSALAM'; 'Brunei Darussalam'; 'BRN';
33; 'BULGARIA'; 'Bulgaria'; 'BGR';
34; 'BURKINA FASO'; 'Burkina Faso'; 'BFA';
35; 'BURUNDI'; 'Burundi'; 'BDI';
36; 'CAMBODIA'; 'Cambodia'; 'KHM';
37; 'CAMEROON'; 'Cameroon'; 'CMR';
38; 'CANADA'; 'Canada'; 'CAN';
39; 'CAPE VERDE'; 'Cape Verde'; 'CPV';
40; 'CAYMAN ISLANDS'; 'Cayman Islands'; 'CYM';
41; 'CENTRAL AFRICAN REPUBLIC'; 'Central African Republic'; 'CAF';
42; 'CHAD'; 'Chad'; 'TCD';
43; 'CHILE'; 'Chile'; 'CHL';
44; 'CHINA'; 'China'; 'CHN';
45; 'CHRISTMAS ISLAND'; 'Christmas Island'; NULL;
46; 'COCOS KEELING ISLANDS'; 'Cocos Keeling Islands'; NULL;
47; 'COLOMBIA'; 'Colombia'; 'COL';
48; 'COMOROS'; 'Comoros'; 'COM';
49; 'CONGO'; 'Congo'; 'COG';
50; 'CONGO; THE DEMOCRATIC REPUBLIC OF THE'; 'Congo;242
51; 'COOK ISLANDS'; 'Cook Islands'; 'COK';
52; 'COSTA RICA'; 'Costa Rica'; 'CRI';
53; 'COTE D''IVOIRE'; 'Cote D''Ivoire'; 'CIV';
54; 'CROATIA'; 'Croatia'; 'HRV';
55; 'CUBA'; 'Cuba'; 'CUB';
56; 'CYPRUS'; 'Cyprus'; 'CYP';
57; 'CZECH REPUBLIC'; 'Czech Republic'; 'CZE';
58; 'DENMARK'; 'Denmark'; 'DNK';
59; 'DJIBOUTI'; 'Djibouti'; 'DJI';
60; 'DOMINICA'; 'Dominica'; 'DMA';
61; 'DOMINICAN REPUBLIC'; 'Dominican Republic'; 'DOM';
62; 'ECUADOR'; 'Ecuador'; 'ECU';
63; 'EGYPT'; 'Egypt'; 'EGY';
64; 'EL SALVADOR'; 'El Salvador'; 'SLV';
65; 'EQUATORIAL GUINEA'; 'Equatorial Guinea'; 'GNQ';
66; 'ERITREA'; 'Eritrea'; 'ERI';
67; 'ESTONIA'; 'Estonia'; 'EST';
68; 'ETHIOPIA'; 'Ethiopia'; 'ETH';
69; 'FALKLAND ISLANDS MALVINAS'; 'Falkland Islands Malvinas'; 'FLK';
70; 'FAROE ISLANDS'; 'Faroe Islands'; 'FRO';
71; 'FIJI'; 'Fiji'; 'FJI';
72; 'FINLAND'; 'Finland'; 'FIN';
73; 'FRANCE'; 'France'; 'FRA';
74; 'FRENCH GUIANA'; 'French Guiana'; 'GUF';
75; 'FRENCH POLYNESIA'; 'French Polynesia'; 'PYF';
76; 'FRENCH SOUTHERN TERRITORIES'; 'French Southern Territories'; NULL;
77; 'GABON'; 'Gabon'; 'GAB';
78; 'GAMBIA'; 'Gambia'; 'GMB';
79; 'GEORGIA'; 'Georgia'; 'GEO';
80; 'GERMANY'; 'Germany'; 'DEU';
81; 'GHANA'; 'Ghana'; 'GHA';
82; 'GIBRALTAR'; 'Gibraltar'; 'GIB';
83; 'GREECE'; 'Greece'; 'GRC';
84; 'GREENLAND'; 'Greenland'; 'GRL';
85; 'GRENADA'; 'Grenada'; 'GRD';
86; 'GUADELOUPE'; 'Guadeloupe'; 'GLP';
87; 'GUAM'; 'Guam'; 'GUM';
88; 'GUATEMALA'; 'Guatemala'; 'GTM';
89; 'GUINEA'; 'Guinea'; 'GIN';
90; 'GUINEA-BISSAU'; 'Guinea-Bissau'; 'GNB';
91; 'GUYANA'; 'Guyana'; 'GUY';
92; 'HAITI'; 'Haiti'; 'HTI';
93; 'HEARD ISLAND AND MCDONALD ISLANDS'; 'Heard Island and Mcdonald Islands'; NULL;
94; 'HOLY SEE VATICAN CITY STATE'; 'Holy See Vatican City State'; 'VAT';
95; 'HONDURAS'; 'Honduras'; 'HND';
96; 'HONG KONG'; 'Hong Kong'; 'HKG';
97; 'HUNGARY'; 'Hungary'; 'HUN';
98; 'ICELAND'; 'Iceland'; 'ISL';
99; 'INDIA'; 'India'; 'IND';
100; 'INDONESIA'; 'Indonesia'; 'IDN';
101; 'IRAN; ISLAMIC REPUBLIC OF'; 'Iran;98
102; 'IRAQ'; 'Iraq'; 'IRQ';
103; 'IRELAND'; 'Ireland'; 'IRL';
104; 'ISRAEL'; 'Israel'; 'ISR';
105; 'ITALY'; 'Italy'; 'ITA';
106; 'JAMAICA'; 'Jamaica'; 'JAM';
107; 'JAPAN'; 'Japan'; 'JPN';
108; 'JORDAN'; 'Jordan'; 'JOR';
109; 'KAZAKHSTAN'; 'Kazakhstan'; 'KAZ';
110; 'KENYA'; 'Kenya'; 'KEN';
111; 'KIRIBATI'; 'Kiribati'; 'KIR';
